epoch,accuracy,loss,val_accuracy,val_loss
0,0.35486000776290894,1.7361375093460083,NA,NA
1,0.4672200083732605,1.4761728048324585,NA,NA
2,0.508080005645752,1.3724538087844849,NA,NA
3,0.5283399820327759,1.3095976114273071,NA,NA
4,0.5475199818611145,1.2649682760238647,NA,NA
5,0.5587999820709229,1.234679937362671,NA,NA
6,0.5684800148010254,1.2082016468048096,NA,NA
7,0.5737800002098083,1.191064476966858,NA,NA
8,0.5862200260162354,1.1660138368606567,NA,NA
9,0.5897200107574463,1.151411771774292,NA,NA
10,0.596780002117157,1.1352198123931885,NA,NA
11,0.6030200123786926,1.1229785680770874,NA,NA
12,0.60316002368927,1.1134077310562134,NA,NA
13,0.6106399893760681,1.0956265926361084,NA,NA
14,0.6152600049972534,1.0871009826660156,NA,NA
15,0.6206799745559692,1.067497730255127,NA,NA
16,0.6195799708366394,1.0695867538452148,NA,NA
17,0.6258800029754639,1.0633045434951782,NA,NA
18,0.6256800293922424,1.056079626083374,NA,NA
19,0.6301000118255615,1.0379760265350342,NA,NA
20,0.6327199935913086,1.0406559705734253,NA,NA
21,0.6343200206756592,1.0326184034347534,NA,NA
22,0.6338800191879272,1.028889536857605,NA,NA
23,0.635699987411499,1.0206108093261719,NA,NA
24,0.6406199932098389,1.0138181447982788,NA,NA
25,0.644599974155426,1.0060153007507324,NA,NA
26,0.6440200209617615,1.0039970874786377,NA,NA
27,0.6442400217056274,1.0056933164596558,NA,NA
28,0.6487399935722351,0.9938368797302246,NA,NA
29,0.6485599875450134,0.9877777099609375,NA,NA
30,0.6531599760055542,0.9837878942489624,NA,NA
31,0.6540600061416626,0.9795244336128235,NA,NA
32,0.6541799902915955,0.9751977324485779,NA,NA
33,0.6567400097846985,0.9735774993896484,NA,NA
34,0.6607599854469299,0.9613469243049622,NA,NA
35,0.6606400012969971,0.9636734127998352,NA,NA
36,0.6643000245094299,0.9587025046348572,NA,NA
37,0.6609799861907959,0.960821270942688,NA,NA
38,0.6635199785232544,0.9539675116539001,NA,NA
39,0.663640022277832,0.9503438472747803,NA,NA
40,0.6656399965286255,0.9455319046974182,NA,NA
41,0.6681600213050842,0.9474650025367737,NA,NA
42,0.6679800152778625,0.9447201490402222,NA,NA
43,0.6692399978637695,0.9373783469200134,NA,NA
44,0.667959988117218,0.9388431906700134,NA,NA
45,0.6687399744987488,0.9397594332695007,NA,NA
46,0.6757599711418152,0.9222935438156128,NA,NA
47,0.673039972782135,0.9333775043487549,NA,NA
48,0.6748200058937073,0.924640417098999,NA,NA
49,0.674239993095398,0.9254369735717773,NA,NA
50,0.6736400127410889,0.9260797500610352,NA,NA
51,0.676639974117279,0.9191763401031494,NA,NA
52,0.6757400035858154,0.9221704602241516,NA,NA
53,0.6783000230789185,0.9134501814842224,NA,NA
54,0.6779400110244751,0.9172622561454773,NA,NA
55,0.6791800260543823,0.9115888476371765,NA,NA
56,0.6822999715805054,0.9076356887817383,NA,NA
57,0.6791999936103821,0.9096041321754456,NA,NA
58,0.6805400252342224,0.9071763157844543,NA,NA
59,0.6825199723243713,0.9070282578468323,NA,NA
60,0.6853799819946289,0.8974580764770508,NA,NA
61,0.6833199858665466,0.8999655246734619,NA,NA
62,0.6823400259017944,0.9021243453025818,NA,NA
63,0.6828600168228149,0.9026537537574768,NA,NA
64,0.6879199743270874,0.8907718062400818,NA,NA
65,0.6843400001525879,0.8952518701553345,NA,NA
66,0.6868000030517578,0.8960651755332947,NA,NA
67,0.685920000076294,0.8902604579925537,NA,NA
68,0.688979983329773,0.8888111710548401,NA,NA
69,0.689740002155304,0.8868796229362488,NA,NA
70,0.6879199743270874,0.8879088163375854,NA,NA
71,0.6896799802780151,0.885830283164978,NA,NA
72,0.687279999256134,0.8866177201271057,NA,NA
73,0.688539981842041,0.884433925151825,NA,NA
74,0.690060019493103,0.8833274245262146,NA,NA
75,0.689520001411438,0.881874680519104,NA,NA
76,0.6891999840736389,0.8834373950958252,NA,NA
77,0.6911399960517883,0.8843293786048889,NA,NA
78,0.6892600059509277,0.8808664679527283,NA,NA
79,0.6929200291633606,0.8740827441215515,NA,NA
80,0.6893799901008606,0.884173572063446,NA,NA
81,0.6938400268554688,0.8741667866706848,NA,NA
82,0.6911399960517883,0.8767492175102234,NA,NA
83,0.6936399936676025,0.872282087802887,NA,NA
84,0.6948599815368652,0.8739786744117737,NA,NA
85,0.6911600232124329,0.8761234283447266,NA,NA
86,0.6936399936676025,0.8710145354270935,NA,NA
87,0.6953399777412415,0.8705873489379883,NA,NA
88,0.6955999732017517,0.8662480711936951,NA,NA
89,0.6969599723815918,0.8658609986305237,NA,NA
90,0.697380006313324,0.8644471764564514,NA,NA
91,0.6968799829483032,0.8608801364898682,NA,NA
92,0.6948400139808655,0.8658352494239807,NA,NA
93,0.6979799866676331,0.864199697971344,NA,NA
94,0.6976199746131897,0.8704193234443665,NA,NA
95,0.6998800039291382,0.8625028729438782,NA,NA
96,0.6988000273704529,0.8601840734481812,NA,NA
97,0.6982399821281433,0.8609544038772583,NA,NA
98,0.6990600228309631,0.859711229801178,NA,NA
99,0.6962199807167053,0.8623136878013611,NA,NA
